# CIRIS evidence registry — the `state:blocked-upstream` adoption manifest.
# Format mirrors CIRISServer/evidence/blocked_upstream.tsv (CIRISServer#361).
#
# Each row is an upstream obligation the client's build contract waits on,
# expressed as a SCANNABLE PREDICATE: a needle whose appearance in the named
# tree means the obligation landed.
#
# kind: absence | drift | untestable  (see the CIRISServer registry)
#
# Counts (files/lines) measured 2026-08-16 against CIRISConformance
# origin/main @3ab8b75 and CIRISServer origin/main @515e656f (v0.5.176).
#
# The rows below the original five were added 2026-08-20 with the client
# extraction (client/VENDORING.md), measured against CIRISAgent origin/main
# @6083bdf (2.9.28). They are the obligations the extraction CREATES: things
# that were one repo's internal business and are now a boundary between two.
# Four of them have no issue number yet and say so, following the precedent of
# the CIRISVerify row: an obligation with a missing tracker is still an
# obligation, and leaving it out until the number exists is how it is forgotten.
issue	repo	scan_root	glob	needle	files	lines	kind	predicate
470	CIRISServer	src	*.rs	openapi\.json	0	0	absence	Filed 2026-08-20 as CIRISServer#470 (serve /v1/openapi.json + release asset + oasdiff labeling). The node does not serve its own OpenAPI spec. The client carries a committed copy and is graded against it, which means the contract is owned by the party under test. The three current "OpenAPI" mentions in src are prose comments. readiness spec-drift can only ask its question once a route serves the document.
86	CIRISServer	client	*.gradle.kts	openApiGenerate|org\.openapi\.generator	0	0	absence	generated-api is ~730 committed files produced by openapi-generator (config in openapi-generator-config.yaml) and nothing re-runs the generator, so spec drift is silent. A generator task in the build graph is the fix; readiness generated-api-drift stays unimplemented until then.
86	CIRISConformance	.github/workflows	*.yml	run-against-client	0	0	absence	The lane these gates are the pre-flight for (#86 §2). Until it exists, a client regression cannot block a CIRISServer or CIRISAgent release.
86	CIRISConformance	tests	test_6*.py	-	0	0	absence	The client test band. Bands 0xx/1xx/2xx/3xx/5xx/9xx are in use; 6xx is free and unclaimed.
266	CIRISVerify	-	-	ciris\.locale_manifest\.v2	-	-	untestable	CC 3.1.2.1 pins the locale-manifest leaf domain as ciris.locale_manifest.v2 with a field named locale; the shipped floor carries v1 and lang_code (documented in CIRISConformance test_578_locale_provenance). Until that closes, the client locale bundle cannot be checked against a signed Merkle root and the four-bundle byte-identity guard stands in for it. CIRISVerify is not in this repo reachable tree, so there is nothing local to scan. Tracker filed 2026-08-20: CIRISVerify#266.
1090	CIRISAgent	client	*.gradle*	syncLocalizationAssets|syncLocalizationResources	2	4	drift	DESTRUCTIVE. Both files register a Gradle `Sync` from ../../localization into a COMMITTED locale bundle, wired to preBuild/processResources. CIRISAgent@6083bdf has ZERO localization/*.json, and a Sync makes its destination MATCH its (empty) source — so the task deletes all 30 committed files it is named for syncing - the 29 locales AND manifest.json, the supported-language list CLAUDE.md names as the source of truth. The `exclude manifest.json` filters the SOURCE; a Sync's delete pass considers the whole destination. The Android one's destination is the PRIMARY bundle. Removed in this repo (VENDORING.md §5) and in CIRISServer (#465, commit 20aa5f7 — folded in by the three-way merge). Last live copies are CIRISAgent's; tracker filed 2026-08-20: CIRISAgent#1090.
-	CIRISAgent	ciris_engine/data/localized	en.json	\"mobile\\.	1	0	untestable	The SIXTH en.json mirror. check_localization_sync.py upstream guards six bundles; two are not in this repo — this one (the agent's server-side prompt bundle, never under client/) and client/iosApp/Resources/app/localization (inside the un-vendored iOS substrate). The client wheel cannot check either. Once CIRISAgent consumes ciris-client, its bundle and the client's must be compared ACROSS repos or one of them drifts silently. Predicate is deliberately weak: a UI key prefix appearing in the agent's prompt bundle would mean the two bundles are being merged again. NO UPSTREAM ISSUE NUMBER IS KNOWN.
1089	CIRISAgent	client/shared/src/commonMain	CIRISBuild.kt	const val HAS_AGENT	1	1	drift	The flavor fork. HAS_AGENT is a committed const val, true here and false in CIRISServer/client — the same file with a different value in two repos, which is a fork with no name. This repo makes it -PhasAgent (VENDORING.md §4). The predicate INVERTS: the obligation lands when this needle scores ZERO in CIRISAgent, i.e. when it stops carrying its own copy and takes the flavor from the wheel. Tracked by the adoption issue, CIRISAgent#1089.
471	CIRISAgent	.	requirements*.txt	ciris-client	0	0	absence	THE MIGRATION ITSELF. Neither consumer depends on the client package yet; both carry their own ~200k-line copy. The extraction is not done when this repo has the source — it is done when this needle scores 1 in CIRISAgent AND in CIRISServer, and their client/ directories are deleted. Until then this repo is a THIRD tree, which is the cost AGENTS.md warned about and the reason it is worth paying only if it ends. Adoption issues filed 2026-08-20: CIRISServer#471 and CIRISAgent#1089.
379	CIRISServer	client	*.gradle.kts	proguard|minifyEnabled	0	0	absence	MEASURED in CIRISClient#1: the desktop uber-jar is 66.48 MiB and compresses to a 65,488,254-byte wheel - 62.5% of PyPI's 104,857,600-byte limit on its own, because ProGuard is blocked on ktor 3.x. That is why the flavors ship as SEPARATE distributions (ciris-client-node / ciris-client-agent): two of them in one wheel DOES NOT FIT, before an Android AAR or anything else. The localization bundles inside are the product and are never cut for size. packaging/check_wheel_size.py measures it every build.
